"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Веб-интерфейс GitHub","0","GitHub Issues","1","0","Просмотр информации об Issue","0"
"0","","0","","3","0","","0"
